,O,N,SSA,PV,RMIC,Dap,ID/IG,M,Anion,AML,PW,CD,Cs
O,1.0,-0.01,0.04,-0.18,0.25,-0.26,-0.2,0.17,0.21,0.04,0.22,0.02,-0.02
N,-0.01,1.0,-0.36,-0.3,0.04,-0.03,0.24,0.25,-0.18,0.11,0.24,0.03,0.18
SSA,0.04,-0.36,1.0,0.69,-0.15,-0.17,0.11,0.19,0.05,0.06,-0.17,-0.02,0.38
PV,-0.18,-0.3,0.69,1.0,-0.56,0.49,0.05,0.29,-0.16,0.09,-0.16,0.02,0.25
RMIC,0.25,0.04,-0.15,-0.56,1.0,-0.57,-0.08,-0.07,0.05,-0.08,0.15,-0.07,-0.05
Dap,-0.26,-0.03,-0.17,0.49,-0.57,1.0,-0.08,0.26,-0.09,0.05,-0.1,0.01,-0.12
ID/IG,-0.2,0.24,0.11,0.05,-0.08,-0.08,1.0,0.33,-0.02,-0.01,-0.09,0.08,0.14
M,0.17,0.25,0.19,0.29,-0.07,0.26,0.33,1.0,-0.15,0.21,0.31,-0.04,0.2
Anion,0.21,-0.18,0.05,-0.16,0.05,-0.09,-0.02,-0.15,1.0,-0.13,-0.19,0.06,-0.17
AML,0.04,0.11,0.06,0.09,-0.08,0.05,-0.01,0.21,-0.13,1.0,0.18,-0.07,0.07
PW,0.22,0.24,-0.17,-0.16,0.15,-0.1,-0.09,0.31,-0.19,0.18,1.0,-0.13,0.12
CD,0.02,0.03,-0.02,0.02,-0.07,0.01,0.08,-0.04,0.06,-0.07,-0.13,1.0,-0.35
Cs,-0.02,0.18,0.38,0.25,-0.05,-0.12,0.14,0.2,-0.17,0.07,0.12,-0.35,1.0
