,count,mean,std,min,25%,50%,75%,max
O,600,8.54,4.27,1.9,5.64,7.6,10.58,21.55
N,600,3.23,2.95,0,1.3,2.57,4.2,13.57
SSA,600,1752.51,916.67,225.22,972.4,1655,2370,3553.1
PV,600,1.25,0.73,0.1,0.72,1.07,1.74,3.43
RMIC,600,45.16,25.86,0,20.93,49.09,67,95.45
Dap,600,3.04,1.62,1.49,1.98,2.34,3.64,9.34
ID/IG,600,1.26,0.61,0.7,0.95,1.04,1.11,3.5
M,600,1.68,0.65,1,1,2,2,3
Anion,600,0.76,0.43,0,1,1,1,1
AML,600,2.15,2.97,1,1,1.5,2,45
PW,600,1.64,0.08,1.6,1.6,1.6,1.6,2
CD,600,10.79,22.16,0.05,0.5,3,10,200
Cs,600,93.53,39.91,14.7,66.8,89.42,115.34,268
