Feature Values,Partial Dependence Values
1.49,89.04855095332557
1.54,89.04855095332557
1.57,89.1776010732924
1.62,89.1341237604392
1.63,92.69158935949572
1.73,91.97915340842043
1.76,90.20474894334906
1.79,90.56020886176789
1.8,89.1665626937985
1.81,89.09446328938905
1.83,91.41746179199448
1.87,90.77802306537079
1.91,91.20813475604703
1.92,93.29258138261372
1.94,93.54347921126306
1.95,90.20351704804742
1.97,90.17319468786746
1.98,89.34797747812958
2.01,89.72613356533819
2.03,88.61489480050733
2.09,88.6479807520236
2.1,88.653828151281
2.15,88.16426555375259
2.19,91.36035536354998
2.22,93.33097704177196
2.26,93.20513608452983
2.27,93.03200519321594
2.28,92.97035578254552
2.29,93.36594535464229
2.33,94.16227494587667
2.34,92.57733430440534
2.39,98.18222524819912
2.51,97.84223969094597
2.63,96.11833800041619
2.68,96.64632746948267
2.84,96.97599817141173
2.85,96.5420220994913
2.91,96.04875391937317
2.95,93.46377380410372
3.0,85.78661946755244
3.02,83.95428101842609
3.19,82.31836955219796
3.21,86.39372525433302
3.46,86.36393189240766
3.51,89.53187881108325
3.6,90.8000770588144
3.61,90.9271869452122
3.64,89.52091512534014
3.66,88.80135209119263
3.68,89.94396816984421
3.73,89.4738946391667
4.04,88.51316983344368
4.15,87.797791416773
4.19,87.87945057022937
4.2,87.70595649296946
4.22,86.89909451825649
4.3,86.0192886684725
4.73,86.00867815495657
5.81,86.13914489356274
6.4,85.81627602436625
6.63,86.37101946998193
6.87,85.98803864331414
7.91,84.74869342820841
9.34,81.27952909141895
